# 故事补长清单 C：中文名 | 补充句（追加到原故事末尾）
虾脊兰	生于山野林下，花色绿紫褐，低调内秀，是兰科中的"山野隐士"。
白车轴草	生于草坪，白花球，四叶是幸运传说，爱尔兰人视其为国草。
琼花	原产中国，白花如绣球，是扬州市花，传说隋炀帝三下扬州看琼花。
唐菖蒲	原产地中海与非洲，花穗挺拔如剑，是四大切花之一，寓意步步高升。
美人蕉	原产美洲热带，花大色艳，花期从夏到秋，是花带的"热情担当"。
硫华菊	波斯菊的黄色近亲，秋日金黄成片，撒种即开，是花海的"性价比之王"。
金光菊	原产北美，亮黄花瓣如阳光，耐旱好养，是夏日花境的"黄色勋章"。
荷兰菊	原产北美，蓝紫小花成片，秋日开放，是北方花境的"蓝色织锦"。
花菱草	原产北美，金黄铺满山谷，是加州州花，阳光下闪闪发亮。
马鞭草	原产欧洲，紫花小穗，是传说中驱魔护身的"魔法草"。
法国薰衣草	原产地中海，花穗顶部有"兔耳"苞片，香气浓，是精油与庭院热门。
洋桔梗	原产北美，花瓣层叠如玫瑰，是花店切花的"气质担当"，花期长。
花烟草	原产南美，花如小喇叭，傍晚香浓，是庭院"夜来香平替"。
木百合	原产南非，苞片金黄或紫红如烛台，是"fynbos"荒原植物群成员。
秋海棠	原产中国，粉花垂枝，是"断肠花"意象与林黛玉咏白海棠的渊源。
黄菖蒲	原产欧洲，黄花如旗生于水边，是湿地净化的"黄金旗"。
文心兰	原产中南美，花如跳舞少女，一枝数十朵，是花艺的活泼配角。
白掌	原产中南美，白帆佛焰苞，耐阴好养，是"一帆风顺"的幸运绿植。
松果菊	原产北美，紫粉花瓣下垂，花心如松果，是药草园与花境双栖明星。
百里香	原产地中海，叶香辛甜，是料理香草，也是骑士披风上的"勇气草"。
黄花风铃木	原产南美，早春满树金黄，花期短而震撼，是南国"黄金雨"。
文殊兰	生于热带海滨与庭院，白花如伞香浓，是佛前"五树六花"之一。
溪荪	生于溪畔，蓝紫花如缎，叶如剑，是湿地园林的优质素材。
鹤顶兰	生于林下湿地，花茎高耸，白花紫唇如鹤首，是兰科中的"高个"。
海芋花	生于热带林下，佛焰苞白绿如观音坐莲，全株有毒需远观。
茑萝	原产热带美洲，羽叶红花如五角星，是篱笆上精致的小星花。
矮牵牛	原产南美，花大色艳四季可开，是阳台与花坛的"开花机器"。
香豌豆	原产意大利，花色柔香清甜，是维多利亚花园的"香花贵族"。
葱兰	原产中南美，白花如莲，风雨后成片开放，是"风雨花"之一。
马蔺	生于草原盐碱地，蓝花如蝶，叶可编物，是绿化先锋与药草。
杓兰	生于高山草甸，唇瓣如小袋，是"仙履兰"，许多种类为保护植物。
金盏菊	原产地中海，橙黄花盘如杯，花期早春，花瓣入药护肤。
白头翁	生于山坡向阳处，紫花垂首，果毛如白头，是早春野花与中药。
补血草	生于盐碱地，紫花如星干后不褪，是永生花束的"不凋花"。
龙胆	生于高山草甸，蓝花如宝石朝天开，根极苦，是"高原蓝焰"。
紫茉莉	原产热带美洲，黄昏开花，种子如地雷，是"晚饭花"。
王莲	生于亚马逊，叶盘承重，花三日三变，是植物园的"水中大力士"。
玛格丽特	原产加那利群岛，白花黄心，花期长，是"占卜花"与庭院常客。
二月兰	生于林下路旁，紫花如毯，早春开放，是北大未名湖畔的经典春景。
木本曼陀罗	生于热带，花大如钟金黄下垂，香气夜晚更浓，全株有毒。
