# 花语花园种子清单
# 列：中文名 | 英文名 | 学名 | 科 | 颜色（、分隔） | 别名（、分隔） | 花语 | 花期 | 简介 | 形态特征 | 花语与文化 | 分布与养护
# 以 # 开头的行会被忽略
name	en	latin	family	colors	aliases	meaning	season	blurb	morph	culture	care
茶梅	Camellia sasanqua	Camellia sasanqua	山茶科	红、粉、白	小茶梅	谦让	秋冬	山茶与梅之间的清雅之花。	常绿灌木，花较小，粉红或白色，秋冬开放，叶似茶。	象征谦让，是冬园一景。	原产日本与中国，喜半阴，耐修剪。
金花茶	Golden camellia	Camellia nitidissima	山茶科	黄	黄色山茶	稀有、珍贵	冬春	罕见的金黄色茶花。	常绿灌木，花瓣金黄色，蜡质光泽，山茶中最稀有。	象征珍贵稀有，有植物界大熊猫之称。	原产广西，喜温暖湿润半阴环境。
杜鹃花	Azalea	Rhododendron simsii	杜鹃花科	红、粉、白、紫	映山红	爱的喜悦	春	满山红遍，热烈奔放。	落叶或常绿灌木，花冠漏斗形，红粉白紫，簇生枝头。	映山红，象征爱的喜悦与热烈。	原产东亚山地，喜酸性土，忌碱性水肥。
西洋杜鹃	Hybrid azalea	Rhododendron hybridum	杜鹃花科	多彩	比利时杜鹃	节制、喜悦	春夏	花色繁多，园艺宠儿。	常绿灌木，花色繁多，花大，多为重瓣盆栽品种。	象征节制与喜悦，是年宵花市宠儿。	温室栽培品种，喜凉爽湿润半阴。
马缨杜鹃	Horse-chestnut azalea	Rhododendron delavayi	杜鹃花科	红	大树杜鹃	热情	春	高山上的红色火焰。	常绿乔木状杜鹃，花深红色，簇生成球，高山壮丽。	象征热情，是高原花海的主角。	原产中国西南高山，喜凉爽，忌酷热。
桂花	Sweet osmanthus	Osmanthus fragrans	木犀科	黄、白	木樨、丹桂	崇高、收获	秋	八月桂花香，清可绝尘。	常绿乔木或灌木，花小，黄白或橙红，聚伞花序，香气馥郁。	象征崇高与收获，蟾宫折桂喻功名有成。	原产中国，喜光耐半阴，忌积水。
丁香	Lilac	Syringa oblata	木犀科	紫、白	紫丁香	纯洁、初恋	春	愁绪与思念化作一树紫云。	落叶灌木或小乔木，圆锥花序，紫白花色，芳香浓郁。	象征纯洁与初恋，结着愁怨的经典意象。	原产中国华北，喜光耐寒，忌涝。
茉莉花	Jasmine	Jasminum sambac	木犀科	白	茉莉	忠贞、清纯	夏	一卉能熏一室香。	常绿灌木，花白色，单瓣或重瓣，清香四溢。	象征忠贞清纯，茉莉花歌传唱四方。	原产南亚，喜温暖湿润强光，忌霜冻。
迎春花	Winter jasmine	Jasminum nudiflorum	木犀科	黄	金腰带	希望、坚强	春	百花未醒它先开。	落叶灌木，花黄色，先叶开放，枝条拱垂如金带。	象征希望与坚强，百花未醒它先开。	原产中国，喜光耐寒，耐旱怕涝。
连翘	Forsythia	Forsythia suspensa	木犀科	黄	黄金条	预言	春	金黄繁花，报春使者。	落叶灌木，花金黄色，四瓣，先叶开放，满枝金灿。	象征预言，是早春报信之花。	原产中国，喜光耐寒，果实入药。
素馨花	Pink jasmine	Jasminum polyanthum	木犀科	白、粉	多花素馨	清白	春夏	藤蔓攀援，清香四溢。	常绿攀援藤本，花白色或粉红，多朵成聚伞花序，香气清甜。	象征清白，是南国香花。	原产中国南方，喜温暖湿润，需支架。
紫藤	Wisteria	Wisteria sinensis	豆科	紫	藤萝	思念、依依不舍	春	紫色花串垂如瀑布。	落叶木质藤本，总状花序下垂，紫蓝色花如帘幕。	象征思念与依依不舍，是庭院花瀑。	原产中国，喜光，藤粗壮需强支撑。
多花紫藤	Japanese wisteria	Wisteria floribunda	豆科	紫	日本紫藤	沉迷的爱	春	花穗更长，烂漫如帘。	落叶藤本，花序更长，紫蓝色小花密集下垂。	象征沉迷的爱，日本庭院常见。	原产日本，喜光，需修剪控制生长。
槐花	Pagoda tree flower	Sophora japonica	豆科	白	国槐花	清新	夏	夏日街头的一抹清香。	落叶乔木，圆锥花序，花白或淡黄，清香，可食。	象征清新，夏初街头槐香是记忆符号。	原产中国，喜光耐旱，抗污染。
洋槐花	Black locust flower	Robinia pseudoacacia	豆科	白	刺槐花	童年的甜	春末	串串白花，蜜香扑鼻。	落叶乔木，总状花序下垂，白色蝶形花，蜜香浓。	象征童年的甜，槐花蜜是名品。	原产北美，已广植中国，喜光耐旱。
合欢花	Silk tree flower	Albizia julibrissin	豆科	粉	绒花树、马缨花	团圆、阖家欢乐	夏	粉色绒球，温柔缱绻。	落叶乔木，头状花序呈绒球状，粉红色，夜合昼开。	象征团圆，合欢寓意阖家欢乐。	原产中国，喜光耐旱，不耐涝。
金合欢	Sweet acacia	Acacia farnesiana	豆科	黄	鸭皂树	友情	冬春	金黄绒球，香气馥郁。	常绿灌木或小乔木，头状花序金黄绒球，香气馥郁。	象征友情，是温暖的香花树。	原产美洲热带，喜温暖阳光。
凤凰木	Flame tree	Delonix regia	豆科	红	红花楹、火树	离别、思念	夏	盛夏如火，花开满城。	落叶乔木，伞房花序，花鲜红带黄晕，夏开如火。	象征离别与思念，盛夏凤凰花季。	原产马达加斯加，喜热带光热。
蓝花楹	Jacaranda	Jacaranda mimosifolia	紫葳科	蓝、紫	紫云木	宁静、深远	春夏	一树蓝紫，如梦如幻。	落叶乔木，圆锥花序，蓝紫色花串，满树如紫云。	象征宁静深远，是梦幻花城的代表。	原产南美，喜温暖，忌霜冻与积水。
火焰木	African tulip tree	Spathodea campanulata	紫葳科	红	火焰树、苞萼木	热情似火	春夏	杯状红花，如火焰燃烧。	常绿乔木，杯状花簇生枝顶，鲜红如火焰。	象征热情似火，是热带行道树。	原产热带非洲，喜高温强光。
凌霄花	Trumpet creeper	Campsis grandiflora	紫葳科	橙、红	紫葳、倒挂金钟	慈爱、敬佩	夏	攀援而上，凌云之志。	落叶木质藤本，漏斗状花橙红色，攀援而上。	象征慈爱敬佩，凌霄之志喻志向高远。	原产中国，喜光耐寒，需支架。
炮仗花	Flame vine	Pyrostegia venusta	紫葳科	橙、红	鞭炮花	喜庆	冬春	橙红成串，如炮仗高挂。	常绿藤本，花橙红色，密集成串，形如鞭炮垂挂。	象征喜庆，是新春庭院红火景致。	原产南美，喜温暖阳光，华南常见。
紫薇	Crape myrtle	Lagerstroemia indica	千屈菜科	粉、紫、红、白	百日红、痒痒树	好运、沉迷	夏秋	紫薇花开百日红。	落叶灌木或小乔木，圆锥花序，粉紫红白，夏秋百日红。	象征好运，痒痒树之名富趣味。	原产中国，喜光耐旱，花后修剪。
大花紫薇	Queen's crape myrtle	Lagerstroemia speciosa	千屈菜科	紫	大叶紫薇	幸福	夏	东南亚的夏日之花。	落叶乔木，花大，紫红色，圆锥花序，热带皇后。	象征幸福，是东南亚盛夏花树。	原产东南亚，喜高温湿润。
石榴花	Pomegranate flower	Punica granatum	石榴科	红	安石榴	成熟的美	夏	红艳如火，象征丰收与繁荣。	落叶灌木或小乔木，花萼筒状，花瓣红艳，五月如霞。	象征成熟的美与繁荣，多子多福。	原产西亚，喜光耐旱，怕涝。
木芙蓉	Cotton rose	Hibiscus mutabilis	锦葵科	粉、白、红	芙蓉花、拒霜花	贞洁、纤细	秋	朝白暮红，一日三变。	落叶灌木或小乔木，花大，晨白午粉暮红，一日三变。	象征贞洁纤细，芙蓉国里尽朝晖。	原产中国，喜光耐水湿，宜植水边。
木槿	Rose of Sharon	Hibiscus syriacus	锦葵科	紫、粉、白	朝开暮落花	温柔、坚持	夏秋	朝开暮落，生生不息。	落叶灌木，花钟形，紫粉白，朝开暮落。	象征温柔坚持，是韩国国花无穷花。	原产东亚，喜光耐旱，萌蘖力强。
扶桑花	Chinese hibiscus	Hibiscus rosa-sinensis	锦葵科	红、粉、黄	朱槿、大红花	新鲜的恋情	夏	热情明艳，四季常开。	常绿灌木，花大，红粉黄，花柱长伸，四季开花。	象征新鲜恋情，热情明艳。	原产中国南部，喜温暖强光。
吊灯扶桑	Fringed hibiscus	Hibiscus schizopetalus	锦葵科	红、粉	灯笼花、吊灯花	魅力	夏秋	花瓣反卷，如吊灯垂挂。	常绿灌木，花瓣反卷上翘，红粉色，如吊灯垂挂。	象征魅力，是园林观赏佳品。	原产非洲热带，喜温暖湿润。
蜀葵	Hollyhock	Alcea rosea	锦葵科	多彩	一丈红、端午花	梦想、温和	夏	高挑花柱，节节盛开。	二年生或多年生草本，茎直立高大，花多色，单瓣或重瓣，自下而上开放。	象征梦想与温和，一丈红之名。	原产中国，喜光耐寒，自播力强。
锦葵	Common mallow	Malva sylvestris	锦葵科	紫、粉	钱葵	温婉	夏	朴素小花，田园风韵。	二年生或多年生草本，花紫红或粉色，瓣脉明显，田园风韵。	象征温婉，朴素小花不争春。	原产欧洲与亚洲，喜光耐旱，自播力强。
玉兰	Yulan magnolia	Magnolia denudata	木兰科	白	白玉兰、望春花	纯洁、真挚	春	净若清荷，先花后叶。	落叶乔木，花大洁白，先叶开放，杯状挺立，清香。	象征纯洁真挚，望春花是早春信使。	原产中国中部，喜光，喜肥沃深厚土壤。
紫玉兰	Lily magnolia	Magnolia liliiflora	木兰科	紫	辛夷、木笔	芳香的情思	春	紫花亭亭，古意盎然。	落叶灌木，花紫色或紫红，直立杯状，先叶开放。	象征芳香的情思，辛夷可入药。	原产中国，喜光耐寒，忌积水。
二乔玉兰	Magnolia soulangeana	Magnolia soulangeana	木兰科	粉、紫	苏郎木兰	优雅	春	白紫交融，如二乔并立。	落叶小乔木，花白紫相间，内外轮颜色不同，典雅。	象征优雅，是玉兰与紫玉兰的杂交种。	栽培广泛，喜光，喜湿润肥沃土。
广玉兰	Southern magnolia	Magnolia grandiflora	木兰科	白	荷花玉兰	生生不息	夏	叶大花硕，清雅大方。	常绿乔木，花大如荷，乳白色，夏日开放，叶革质油亮。	象征生生不息，是南方常见庭荫树。	原产北美东南部，喜光湿润。
含笑花	Banana shrub	Michelia figo	木兰科	白、黄	含笑	含蓄、矜持	春	花半开似含笑，香如香蕉。	常绿灌木，花半开似含笑，乳白带黄晕，香如香蕉。	象征含蓄矜持，花小而香远。	原产中国南部，喜半阴湿润。
白兰花	White champaca	Michelia alba	木兰科	白	白兰、白玉兰	纯真	夏	夏日街头，香气袭人。	常绿乔木，花白色狭长，极香，夏季盛放。	象征纯真，是街头串花经典。	原产东南亚，喜温暖湿润强光。
黄兰	Champaca	Michelia champaca	木兰科	黄	黄玉兰	永恒的爱	夏	金黄花朵，香气浓郁。	常绿乔木，花金黄色，狭长浓香，与白兰同属。	象征永恒的爱，热带香花。	原产印度与东南亚，喜暖湿。
鹅掌楸花	Tulip tree flower	Liriodendron chinense	木兰科	黄、绿	马褂木花	秋日	春	花似郁金香，叶如马褂。	落叶乔木，花黄绿色，形似郁金香，叶如马褂。	象征秋日与山林，古老孑遗植物。	原产中国中部，喜凉爽湿润。
木棉	Silk cotton tree	Bombax ceiba	木棉科	红	英雄树、攀枝花	英雄气概	春	红棉怒放，英雄之花。	落叶大乔木，花红色杯状，先叶开放，满树如炬。	象征英雄气概，英雄树之名由此而来。	原产中国南方，喜光耐旱。
美丽异木棉	Floss silk tree	Ceiba speciosa	木棉科	粉	美人树、丝绵树	浪漫	秋冬	冬日里的粉色浪漫。	落叶乔木，花粉色，花瓣反卷，秋冬开放。	象征浪漫，是冬日里的粉色云霞。	原产南美，华南常见，喜暖光。
鸡蛋花	Frangipani	Plumeria rubra	夹竹桃科	白、黄、粉	缅栀子、蛋黄花	孕育希望	夏	热带风情的五瓣小花。	落叶小乔木，花白心黄或粉红，五瓣旋生，香气清甜。	象征孕育希望，是热带海岛符号。	原产美洲热带，喜光耐旱。
黄蝉	Golden trumpet	Allamanda schottii	夹竹桃科	黄	硬枝黄蝉	活泼	夏秋	喇叭状黄花，明亮夺目。	常绿灌木，花黄色漏斗状，明艳夺目，花期长。	象征活泼，是热带花篱常用种。	原产南美，喜温暖湿润强光。
夹竹桃	Oleander	Nerium oleander	夹竹桃科	粉、白、红	柳叶桃	注意危险	夏秋	花美但全株有毒，只可远观。	常绿灌木，花粉红白或红，聚伞花序，全株有毒。	花美而危险，只可远观，可抗污染。	原产南亚，喜光耐旱，适应性强。
长春花	Madagascar periwinkle	Catharanthus roseus	夹竹桃科	粉、红、白	日日春、四时春	愉快的回忆	夏秋	花期极长，日日见春。	亚灌木状草本，花红粉白，单生叶腋，几乎全年开花。	象征愉快的回忆，日日春名不虚传。	原产马达加斯加，喜暖光，忌涝。
紫荆花	Hong Kong orchid	Bauhinia blakeana	豆科	紫、红	洋紫荆	和睦、亲情	冬春	香港市花，花形如蝶。	常绿乔木，花紫红色，形似蝴蝶，冬季至早春盛开。	象征和睦亲情，是香港区花。	原产华南，喜暖湿，宜酸性土。
羊蹄甲	Camel's foot	Bauhinia purpurea	豆科	粉、紫	紫荆、洋紫荆	亲情	秋冬	粉紫满树，南国风情。	落叶乔木，花粉紫，叶先端二裂如羊蹄。	象征亲情，南国秋冬花树。	原产南亚，喜暖光，耐旱。
刺桐	Coral tree	Erythrina variegata	豆科	红	木本象牙红	红火	春	红色花序如珊瑚串。	落叶乔木，花红色，花序如珊瑚串，先叶开放。	象征红火，是南国热烈之花。	原产亚洲热带，喜暖光。
龙牙花	Coral bean	Erythrina corallodendron	豆科	红	象牙红	热情	夏	弯月形红花，热烈奔放。	落叶灌木或小乔木，花猩红，弯月形，成簇开放。	象征热情，是庭园焦点。	原产南美，喜温暖阳光。
金雀花	Pea tree	Caragana sinica	豆科	黄	锦鸡儿	谦逊	春夏	金黄小花如雀鸟飞舞。	落叶灌木，花金黄色，蝶形，如雀鸟栖枝。	象征谦逊，山野春光。	原产中国，喜光耐旱，忌涝。
紫荆	Chinese redbud	Cercis chinensis	豆科	紫	满条红	家庭和睦	春	老干生花，紫气满枝。	落叶灌木或小乔木，花紫红，簇生老干，满条红。	象征家庭和睦，先花后叶。	原产中国，喜光耐寒。
流苏树花	Fringe tree	Chionanthus retusus	木犀科	白	四月雪、流苏花	清净	春	白色流苏，如四月飘雪。	落叶乔木，花白色，花瓣细长流苏状，四五月如雪。	象征清净，四月雪之名雅致。	原产中国，喜光，耐寒耐旱。
六月雪	Snow of June	Serissa japonica	茜草科	白	满天星、白马骨	爱恋	夏	细白小花如碎雪。	常绿小灌木，花白色或淡粉，细小繁密如碎雪。	象征爱恋，是盆景经典素材。	原产中国长江流域，喜半阴湿润。
龙船花	Chinese ixora	Ixora chinensis	茜草科	红、橙、黄	水绣球	热情	夏秋	团团锦簇，如龙舟竞渡。	常绿灌木，花红橙黄，聚生成球，夏秋繁盛。	象征热情，端午前后盛开似龙舟。	原产中国南方，喜暖湿强光。
栀子花	Gardenia	Gardenia jasminoides	茜草科	白	水横枝、玉荷花	永恒的爱	夏	素洁芬芳，一生的守候。	常绿灌木，花白色，重瓣浓香，夏初开放。	象征永恒的爱，水横枝之名清雅。	原产中国，喜酸性土，喜光耐半阴。
玉叶金花	Buddha's lamp	Mussaenda pubescens	茜草科	白、黄	白纸扇	宁静	夏	白色萼片如叶片般舒展。	常绿灌木，白色萼片似叶，金色小花居中，奇特。	象征宁静，园林观赏灌木。	原产中国南方，喜暖湿半阴。
绣球花	Hydrangea	Hydrangea macrophylla	绣球花科	蓝、粉、紫、白	八仙花、紫阳花	团圆美满	夏	绣球般的花团，美满的祝福。	落叶灌木，花球硕大，蓝粉紫白随土壤酸碱变化。	象征团圆美满，八仙花之名传世。	原产中国与日本，喜半阴湿润，酸性土开蓝花。
圆锥绣球	Panicled hydrangea	Hydrangea paniculata	绣球花科	白、粉	水亚木	希望	夏秋	圆锥花序，由白转粉。	落叶灌木，圆锥花序，花白渐变粉，夏秋开放。	象征希望，庭院新宠。	原产东亚，喜光耐寒，宜湿润。
金丝桃	St John's wort	Hypericum monogynum	金丝桃科	黄	土连翘	神秘	夏	金色丝蕊，灿烂夺目。	半常绿灌木，花金黄色，雄蕊细长如丝，灿烂。	象征神秘，亮丽而不张扬。	原产中国，喜光耐半阴，忌涝。
金丝梅	Golden cup	Hypericum patulum	金丝桃科	黄	芒种花	光明	春夏	花瓣金黄，蕊丝纤细。	半常绿灌木，花金黄，雄蕊短于金丝桃，夏季开放。	象征光明，山坡灌丛常见。	原产中国，喜光耐旱。
瑞香	Winter daphne	Daphne odora	瑞香科	白、粉、紫	睡香、蓬莱花	祥瑞	冬春	花香浓郁，瑞气盈门。	常绿灌木，花白粉或紫红，头状花序，浓香袭人。	象征祥瑞，睡香之名叫人神往。	原产中国长江流域，喜半阴，忌暴晒。
结香	Paperbush	Edgeworthia chrysantha	瑞香科	黄	打结花、梦花	喜结连枝	冬春	枝条可打结，花黄如球。	落叶灌木，花黄色，头状花序下垂，枝软可打结。	象征喜结连枝，梦花之名浪漫。	原产中国，喜半阴湿润，耐寒。
一品红	Poinsettia	Euphorbia pulcherrima	大戟科	红	圣诞红、象牙红	祝福你	冬	圣诞节的经典红。	常绿灌木，苞片鲜红似花，聚生枝顶，冬春上市。	象征祝福，是圣诞节经典盆花。	原产墨西哥，喜温暖，短日照促花。
虎刺梅	Crown of thorns	Euphorbia milii	大戟科	红、粉、黄	铁海棠	倔强坚强	四季	带刺的茎上开出小花。	多刺灌木，花小，红粉或黄色，几乎全年开花。	象征倔强坚强，带刺的温柔。	原产马达加斯加，喜暖光，忌涝。
三角梅	Bougainvillea	Bougainvillea spectabilis	紫茉莉科	红、粉、紫、白	叶子花、三角花	热情	四季	彩色苞片如花瓣般艳丽。	常绿藤状灌木，彩色苞片似花，红粉紫白，四季常开。	象征热情，是华南花墙主角。	原产南美，喜强光，控水促花。
月见草	Evening primrose	Oenothera biennis	柳叶菜科	黄	待霄草	默默的爱	夏	黄昏绽放，暗香浮动。	二年生草本，花黄色，傍晚开放，次日凋谢。	象征默默的爱，待霄草之名诗意。	原产美洲，已逸生中国，喜光耐旱。
昙花	Night-blooming cereus	Epiphyllum oxypetalum	仙人掌科	白	月下美人、韦陀花	刹那永恒	夏秋	昙花一现，为韦陀而开。	附生肉质灌木，花白色硕大，夜间开放，数小时即谢。	象征刹那永恒，昙花一现为韦陀。	原产中美洲，喜半阴湿润，忌暴晒。
令箭荷花	Red orchid cactus	Nopalxochia ackermannii	仙人掌科	红、粉	孔雀仙人掌	热烈	春夏	扁平如令箭，花开如荷。	附生肉质灌木，茎扁平如令箭，花大红粉，春夏开放。	象征热烈，似荷非荷。	原产墨西哥，喜半阴，冬季需凉。
仙人掌花	Prickly pear flower	Opuntia ficus-indica	仙人掌科	黄、橙	霸王花	坚强	夏	荒漠中的金色花朵。	肉质植物，花黄橙或红，生于刺座，荒漠亮色。	象征坚强，沙漠中的温柔。	原产美洲，喜强光干燥，忌水湿。
蟹爪兰	Christmas cactus	Schlumbergera truncata	仙人掌科	红、粉、白	圣诞仙人掌	鸿运当头	冬	节节相连，冬日盛放。	附生肉质灌木，茎节相连如蟹爪，花红粉白，冬季开放。	象征鸿运当头，圣诞仙人掌。	原产巴西，喜半阴湿润，短日照促花。
量天尺花	Dragon fruit flower	Hylocereus undatus	仙人掌科	白	火龙果花	吉祥	夏秋	巨大的白色夜花。	攀援肉质植物，花白色巨大，夜间开放，果为火龙果。	象征吉祥，月夜巨花。	原产中美洲，喜暖光，耐旱。
君子兰	Clivia	Clivia miniata	石蒜科	橙、红	大花君子兰	高贵、谦谦君子	春	端庄典雅，君子之风。	多年生草本，叶宽带形，花橙红或黄，伞形花序。	象征高贵谦和，君子之风。	原产南非，喜半阴凉爽，忌暴晒。
文殊兰	Grand crinum	Crinum asiaticum	石蒜科	白	十八学士、文珠兰	与君同行	夏	洁白大花，香气幽远。	多年生草本，叶宽大，花白色，伞形花序，芳香。	象征与君同行，十八学士之名。	原产亚洲热带，喜暖湿半阴。
水仙花	Narcissus	Narcissus tazetta	石蒜科	白、黄	中国水仙、雅蒜	思念、纯洁	冬春	凌波仙子，岁朝清供。	多年生草本，鳞茎球状，花白瓣黄心，冬春开放。	象征思念与纯洁，凌波仙子。	原产中国，喜冷凉，水养或土栽。
洋水仙	Wild daffodil	Narcissus pseudonarcissus	石蒜科	黄、白	黄水仙	自信	春	金黄喇叭，春天使节。	多年生草本，花黄或白，副冠喇叭状，春日开放。	象征自信，是春天使节。	原产欧洲，喜冷凉，球根需春化。
红花石蒜	Red spider lily	Lycoris radiata	石蒜科	红	彼岸花、曼珠沙华	离别、重逢	夏秋	花叶永不相见。	多年生草本，花鲜红，花瓣反卷，花叶不相见。	象征离别与重逢，彼岸花之名凄美。	原产中国与日本，喜半阴湿润。
忽地笑	Golden spider lily	Lycoris aurea	石蒜科	黄	金花石蒜	快乐	夏秋	花先叶后，灿烂金黄。	多年生草本，花金黄，形似石蒜，夏秋开放。	象征快乐，金色彼岸花。	原产中国，喜半阴湿润。
葱兰	Zephyr lily	Zephyranthes candida	石蒜科	白	玉帘、葱莲	初恋	夏秋	雨后清丽，素白如葱。	多年生草本，叶细如葱，花白色，单生，雨后清新。	象征初恋，风雨过后仍盛开。	原产美洲，喜光耐旱，球根植物。
韭兰	Rain lily	Zephyranthes grandiflora	石蒜科	粉、红	风雨花	坚强	夏	风雨过后，依然盛开。	多年生草本，叶似韭菜，花粉红，雨后盛开。	象征坚强，风雨花之名贴切。	原产南美，喜光，耐热耐旱。
百子莲	African lily	Agapanthus africanus	石蒜科	蓝、紫	紫君子兰、非洲百合	恋爱的造访	夏	蓝色花球，清凉一夏。	多年生草本，叶带状，花蓝紫，伞形花序成球。	象征恋爱的造访，夏日清凉色。	原产南非，喜光，喜湿润肥沃。
